Code,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
magfri,0,0,0,0,0,0,0,0,0,0,0,0,0
masboo,0,0,0,0,0,0,0,0,0,0,0,0,0
nazboo1,0,0,0,0,0,0,0,0,0,0,0,0,0
brnboo,0,0,0,0,0,0,0,0,0,0,0,0,0
refboo,0,0,0,0,0,0,0,0,0,0,0,0,0
norgan,0,0,0,0,0,0,0,0,0,0,0,0,0
anhing,0,0,0,0,0,0,0,0,0,0,0,0,0
bracor,0,872,0,0,0,0,0,0,0,0,0,0,0
pelcor,0,1218,0,0,0,0,0,0,0,0,0,0,0
grecor,0,0,0,10,46,0,114,0,0,1,23,0,0
doccor,0,1522,0,16,29,0,48,0,63,0,0,0,0
neocor,0,0,0,0,0,0,0,0,0,0,0,0,0
amwpel,0,0,0,0,0,0,0,0,0,0,0,0,0
brnpel,0,0,0,0,0,0,0,0,0,0,0,0,0
grwpel1,0,0,0,0,0,0,0,0,0,0,0,0,0
